name,hostStar,period,separation,radius,mass,massProvenance,detectionMethod,discoveryYear,facility,temperature,density,eccentricity,insolation,starSpectralType,starTemperature,starRadius,starMass,distance,ra,dec,planetType
HIP 19976 b,HIP 19976,50.65905,0.234,,21.61233168,Msini,radial-velocity,2022,Multiple Observatories,,,0.304,,,,,0.67,40.2707,64.2597881,-40.7985198,neptune-like
HIP 21152 b,HIP 21152,22000.0,17.0,,7627.881768,Mass,direct-imaging,2022,Multiple Observatories,1300.0,,0.36,,F5 V,6655.0,,1.4,43.4073,68.0205209,5.4100745,cold-jupiter
HIP 29442 c,HD 42813,3.5379559,0.04518,1.551,4.5,Mass,radial-velocity,2023,Paranal Observatory,1123.0,,,451.0,,5289.0,0.98,0.901,68.192,93.0578446,-14.6493167,super-earth
HIP 29442 d,HD 42813,6.429575,0.0673,1.538,5.14,Mass,radial-velocity,2023,Paranal Observatory,920.0,,,203.0,,5289.0,0.98,0.901,68.192,93.0578446,-14.6493167,super-earth
HIP 34222 b,HIP 34222,159.986,0.492,,263.79757781,Msini,radial-velocity,2021,Cerro Tololo Inter-American Observatory,,,0.305,,K7 V,,,0.62,22.8386,106.4257786,27.4704132,cold-jupiter
HIP 35173 b,HIP 35173,41.516,0.217,,12.7,Msini,radial-velocity,2019,Las Campanas Observatory,,,0.16,,K2 V,4881.0,,0.79,33.1562,109.0449329,-3.6661273,neptune-like
HIP 35965 b,HIP 35965,26125.56497,15.898,,2589.98368864,Mass,radial-velocity,2022,Multiple Observatories,,,0.138,,,,,0.78,50.1677,111.2025182,-51.3257507,cold-jupiter
HIP 38594 b,HIP 38594,60.722,0.256,,8.1,Msini,radial-velocity,2020,Multiple Observatories,,,0.17,,M0,,,0.61,17.7886,118.5439118,-25.3023073,super-earth
HIP 38594 c,HIP 38594,3477.768,3.805,,48.4,Msini,radial-velocity,2020,Multiple Observatories,,,0.16,,M0,,,0.61,17.7886,118.5439118,-25.3023073,neptune-like
HIP 39017 b,HIP 39017,31000.0,22.1,,7500.7504052,Mass,direct-imaging,2024,Multiple Observatories,,,0.55,,A9/F0,,,1.52,66.3217,119.7665756,-4.3326006,cold-jupiter
HIP 41378 b,HIP 41378,15.57208,0.12823018361319496,2.595,6.89,Mass,transit-kepler,2016,K2,959.0,2.17,,140.0,,6320.0,1.273,1.16,106.289,126.6158279,10.0803708,sub-neptune
HIP 41378 c,HIP 41378,31.70603,0.20599361421308868,2.727,4.4,Mass,transit-kepler,2016,K2,757.0,1.19,,54.0,,6320.0,1.273,1.16,106.289,126.6158279,10.0803708,sub-neptune
HIP 41378 d,HIP 41378,278.3618,0.876662179341791,3.54,4.6,Mass,transit-kepler,2016,K2,367.0,0.56,,3.01,,6320.0,1.273,1.16,106.289,126.6158279,10.0803708,sub-neptune
HIP 41378 e,HIP 41378,369.0,1.057897093919521,4.92,12.0,Mass,transit-kepler,2016,K2,335.0,0.55,,2.1,,6320.0,1.273,1.16,106.289,126.6158279,10.0803708,neptune-like
HIP 41378 f,HIP 41378,542.07975,1.3671032088896873,9.2,12.0,Mass,transit-kepler,2016,K2,294.0,0.09,,1.24,,6320.0,1.273,1.16,106.289,126.6158279,10.0803708,neptune-like
HIP 41378 g,HIP 41378,62.06,0.32232972735549015,,7.0,Msini,radial-velocity,2025,W. M. Keck Observatory,605.0,,,22.3,,6320.0,1.273,1.16,106.289,126.6158279,10.0803708,super-earth
HIP 4845 b,HIP 4845,34.15,0.176,,14.4,Msini,radial-velocity,2020,Multiple Observatories,,,0.25,,,,,0.62,21.0974,15.5881733,-10.4246208,neptune-like
HIP 48714 b,HIP 48714,17.818,0.112,,22.9,Msini,radial-velocity,2020,Multiple Observatories,,,0.5,,M0.5 Ve,,,0.58,10.5298,149.0332672,62.7859505,neptune-like
HIP 5158 b,HIP 5158,345.72,0.89,,451.0,Msini,radial-velocity,2009,La Silla Observatory,,,0.52,,,4962.0,,0.78,51.6026,16.5094891,-22.4536134,cold-jupiter
HIP 5158 c,HIP 5158,9017.76,7.7,,4780.1632,Msini,radial-velocity,2011,La Silla Observatory,,,0.14,,,4813.0,0.754089,0.78,51.6026,16.5094891,-22.4536134,cold-jupiter
HIP 54373 b,HIP 54373,7.76,0.063,,8.62,Msini,radial-velocity,2019,Las Campanas Observatory,,,0.2,,K5 V,4021.0,,0.57,18.7168,166.8643532,-19.2916857,super-earth
HIP 54373 c,HIP 54373,15.144,0.099,,12.44,Msini,radial-velocity,2019,Las Campanas Observatory,,,0.2,,K5 V,4021.0,,0.57,18.7168,166.8643532,-19.2916857,neptune-like
HIP 54515 b,HIP 54515,33000.0,24.8,,5625.5628039,Mass,direct-imaging,2026,Subaru Telescope,,,0.42,,A5 V,8100.0,,1.9,82.8101,167.3066308,-1.3332838,cold-jupiter
HIP 54597 b,HIP 54597,3274.0,4.0,,762.7881768,Mass,radial-velocity,2023,La Silla Observatory,,,0.03,,K5 V,,,0.8,39.7429,167.6082179,-29.4143018,cold-jupiter
HIP 55507 b,HIP 55507,5138.43727,5.062,,2585.53409095,Mass,radial-velocity,2022,Multiple Observatories,,,0.362,,,,,0.65,25.4893,170.5227246,46.907803,cold-jupiter
HIP 56640 b,HIP 56640,2675.57603,4.55,,2151.69831539,Mass,radial-velocity,2021,Multiple Observatories,,,0.118,,,,,1.75,122.324,174.2008941,-37.0391349,cold-jupiter
HIP 57274 b,HIP 57274,8.1352,0.07,,6.3566,Msini,radial-velocity,2011,W. M. Keck Observatory,,,0.19,,,4510.0,0.78,0.29,25.8618,176.1705487,30.9576484,super-earth
HIP 57274 c,HIP 57274,32.03,0.178,,130.0,Msini,radial-velocity,2011,W. M. Keck Observatory,,,0.05,,K4 V,4640.0,0.68,0.73,25.8618,176.1705487,30.9576484,cold-jupiter
HIP 57274 d,HIP 57274,431.7,1.01,,167.4,Msini,radial-velocity,2011,W. M. Keck Observatory,,,0.27,,K4 V,4640.0,0.68,0.73,25.8618,176.1705487,30.9576484,cold-jupiter
HIP 5763 b,HIP 5763,30.014,0.17,,162.09248757,Msini,radial-velocity,2021,Cerro Tololo Inter-American Observatory,,,0.054,,K6 V,,,0.72,31.9043,18.495343,16.4942738,cold-jupiter
HIP 63242 b,HIP 63242,124.6,0.565,,2917.56,Msini,radial-velocity,2013,Multiple Observatories,,,0.23,,G8,4830.0,,1.54,156.456,194.3824825,-65.6463263,cold-jupiter
HIP 65 A b,HIP 65 A,0.9809734,0.01782,22.75427,1021.18779,Mass,transit-other,2020,Transiting Exoplanet Survey Satellite (TESS),1411.0,0.48,0.0,661.0,K4 V,4590.0,0.7242,0.781,61.7856,0.1856063,-54.8308228,hot-jupiter
HIP 65407 b,HIP 65407,28.125,0.177,,136.03124,Msini,radial-velocity,2016,Haute-Provence Observatory,,,0.14,,K0,5460.0,,0.93,61.7804,201.087663,48.8847322,cold-jupiter
HIP 65407 c,HIP 65407,67.3,0.316,,249.17872,Msini,radial-velocity,2016,Haute-Provence Observatory,,,0.12,,K0,5460.0,,0.93,61.7804,201.087663,48.8847322,cold-jupiter
HIP 66074 b,HIP 66074,310.9,0.799,,1589.142035,Mass,astrometry,2023,European Space Agency (ESA) Gaia Satellite,,,0.948,,,4300.0,0.69,0.705,35.4438,203.1635632,75.0071038,cold-jupiter
HIP 67522 b,HIP 67522,6.9594731,0.0748,9.9872018,,,transit-other,2020,Transiting Exoplanet Survey Satellite (TESS),1175.0,,0.064,,,5675.0,1.38,1.22,127.28,207.526001,-40.8358961,hot-jupiter
HIP 67522 c,HIP 67522,14.334892,0.1228,7.93595834,,,transit-other,2024,Transiting Exoplanet Survey Satellite (TESS),917.0,,0.077,,,5675.0,1.38,1.22,127.28,207.526001,-40.8358961,cold-jupiter
HIP 67537 b,HIP 67537,2523.64713,4.807,,4309.11754211,Mass,radial-velocity,2017,Multiple Observatories,,,0.586,,,,,2.316,116.046,207.5808445,-39.9008996,cold-jupiter
HIP 67851 b,HIP 67851,89.23,0.42,,365.50266805,Msini,radial-velocity,2015,Multiple Observatories,,,0.13,,K0 III,4840.0,5.45,1.28,64.1181,208.465364,-35.3146536,cold-jupiter
HIP 67851 c,HIP 67851,3128.41,4.55,,1579.60718279,Msini,radial-velocity,2015,Multiple Observatories,,,0.3,,K0 III,4840.0,5.45,1.28,64.1181,208.465364,-35.3146536,cold-jupiter
HIP 70849 b,HIP 70849,3649.0,3.99,,1430.2278315,Mass,radial-velocity,2009,La Silla Observatory,,,0.65,,K7 V,,,0.65,24.0572,217.3270762,-46.464684,cold-jupiter
HIP 71135 b,HIP 71135,87.19,0.335,,18.8,Msini,radial-velocity,2019,Las Campanas Observatory,,,0.21,,M1,4146.0,,0.66,32.3311,218.2158073,-52.6464757,neptune-like
HIP 74890 b,HIP 74890,822.3,2.1,,762.792,Msini,radial-velocity,2016,Multiple Observatories,,,0.07,,K1 III,4850.0,5.77,1.74,78.6562,229.5714974,-41.4210961,cold-jupiter
HIP 75092 b,HIP 75092,926.4,2.02,,568.91284853,Msini,radial-velocity,2021,Multiple Observatories,,,0.42,,K0 III,4891.0,4.53,1.28,81.6696,230.1724206,-25.9910525,cold-jupiter
HIP 79431 b,HIP 79431,111.7,0.36,,667.415,Msini,radial-velocity,2009,W. M. Keck Observatory,,,0.29,,M3 V,3191.0,,0.49,14.5324,243.1742467,-18.8764247,cold-jupiter
HIP 81208 C b,HIP 81208 C,104100.0,23.04,,4703.8604236,Mass,direct-imaging,2023,Paranal Observatory,2050.0,,,,M,,,0.135,147.533,248.8075,-35.7247583,cold-jupiter
HIP 8152 b,HIP 8152,10.751014,0.093,2.53625843,8.9,Mass,transit-other,2023,Transiting Exoplanet Survey Satellite (TESS),794.96,2.97,0.0,,,5618.0,0.9603,0.9373,101.694,26.2092533,-18.4013844,sub-neptune
HIP 8152 c,HIP 8152,19.60562,0.139,2.52442508,10.7,Mass,transit-other,2023,Transiting Exoplanet Survey Satellite (TESS),650.68,3.63,0.2,,,5618.0,0.9603,0.9373,101.694,26.2092533,-18.4013844,neptune-like
HIP 8541 b,HIP 8541,1852.14387,3.729,,2451.7283316,Mass,radial-velocity,2016,Multiple Observatories,,,0.36,,,,,2.009,155.121,27.5271962,-54.4651633,cold-jupiter
HIP 86221 b,HIP 86221,2.224,0.031,,225.65816897,Msini,radial-velocity,2021,Cerro Tololo Inter-American Observatory,,,0.086,,K5 V,,,0.79,29.4898,264.294875,27.896391,hot-jupiter
HIP 91258 b,HIP 91258,5.0505,0.06,,346.4347,Msini,radial-velocity,2013,Haute-Provence Observatory,,,0.02,,,5519.0,0.89,0.97,45.8846,279.2211173,61.7015065,hot-jupiter
HIP 94235 b,HIP 94235,7.713057,0.0787,3.0,379.0,Mass,transit-other,2022,Transiting Exoplanet Survey Satellite (TESS),1060.0,,0.32,,G V,5991.0,1.08,1.094,58.5146,287.7411441,-60.2726358,hot-jupiter
HIP 948 b,HIP 948,24955.45756,15.037,,6547.2651842,Mass,radial-velocity,2022,Multiple Observatories,,,0.23,,,,,0.71,34.8523,2.9276336,-39.2304879,cold-jupiter
HIP 9618 b,HIP 9618,20.772858,0.145,3.82838127,8.3,Mass,transit-other,2023,Transiting Exoplanet Survey Satellite (TESS),640.88,0.81,0.0,,,5649.0,0.9593,0.942,67.5478,30.9050061,21.2813274,sub-neptune
HIP 9618 c,HIP 9618,52.56363,0.269,3.42855926,7.0,Mass,transit-other,2023,Transiting Exoplanet Survey Satellite (TESS),470.31,1.0,0.0,,,5649.0,0.9593,0.942,67.5478,30.9050061,21.2813274,sub-neptune
HIP 97166 b,HIP 97166,10.288914,0.091,2.4801338,19.1,Mass,transit-other,2021,Transiting Exoplanet Survey Satellite (TESS),701.66,6.86,0.29,,,5216.0,0.8418,0.9342,65.9501,296.2446203,74.0628577,neptune-like
HIP 97166 c,HIP 97166,16.432,0.124,,8.0,Msini,radial-velocity,2021,Multiple Observatories,,,0.0,,,5216.0,0.8418,0.9342,65.9501,296.2446203,74.0628577,super-earth
HIP 97233 b,HIP 97233,1062.26506,2.491,,6098.17364511,Mass,radial-velocity,2014,Multiple Observatories,,,0.63,,,,,1.81,102.275,296.4221207,-0.6968794,cold-jupiter
HIP 99770 b,HIP 99770,18600.0,16.9,,5117.0373527,Mass,direct-imaging,2023,Multiple Observatories,,,0.25,,A5-A6,8000.0,,1.85,40.0765,303.6338344,36.8066046,cold-jupiter
HN Lib b,HN Lib,36.116,0.1417,,5.46,Msini,radial-velocity,2023,Calar Alto Observatory,234.4,,0.079,0.503,M4.0 V,3347.0,0.299,0.291,6.24442,218.5684823,-12.5170062,super-earth
HR 5183 b,HR 5183,27000.0,18.0,,1026.5909,Msini,radial-velocity,2019,Multiple Observatories,171.0,,0.84,,,5794.0,1.53,1.07,31.4607,206.7357992,6.3498994,cold-jupiter
HR 810 b,HR 810,302.79999,0.92,,721.4741,Msini,radial-velocity,1999,La Silla Observatory,,,0.14,,,6167.0,1.13,1.34,17.3181,40.6417178,-50.7993484,cold-jupiter
HR 858 b,HR 858,3.585287,0.04888,2.004,3.55,Mass,transit-other,2019,Transiting Exoplanet Survey Satellite (TESS),1552.0,2.44,0.0,,,6354.0,1.258,1.204,31.964,42.9849779,-30.8140609,sub-neptune
HR 858 c,HR 858,5.973865,0.0687,1.979,3.8,Mass,transit-other,2019,Transiting Exoplanet Survey Satellite (TESS),1309.0,2.9,0.0,,,6354.0,1.258,1.204,31.964,42.9849779,-30.8140609,super-earth
HR 858 d,HR 858,11.230511,0.1046,2.001,7.1,Mass,transit-other,2019,Transiting Exoplanet Survey Satellite (TESS),1061.0,4.9,0.0,,,6354.0,1.258,1.204,31.964,42.9849779,-30.8140609,sub-neptune
HR 8799 b,HR 8799,170000.0,68.0,13.0,2000.0,Mass,direct-imaging,2008,Gemini Observatory,,,,,A5 V,,,1.5,41.2441,346.8701486,21.1340376,cold-jupiter
HR 8799 c,HR 8799,69000.0,38.0,13.0,3000.0,Mass,direct-imaging,2008,Gemini Observatory,,,,,A5 V,,,1.5,41.2441,346.8701486,21.1340376,cold-jupiter
HR 8799 d,HR 8799,37000.0,24.0,13.0,3000.0,Mass,direct-imaging,2008,W. M. Keck Observatory,,,,,A5 V,,,1.5,41.2441,346.8701486,21.1340376,cold-jupiter
HS Psc b,HS Psc,3.986,0.0435,,464.02947422,Msini,radial-velocity,2024,McDonald Observatory,,,0.27,,K7 V,4203.0,0.65,0.69,37.6604,24.347379,26.9528036,hot-jupiter
IRAS 04125+2902 b,IRAS 04125+2902,8.834978,0.077,10.73820351,,,transit-other,2024,Transiting Exoplanet Survey Satellite (TESS),854.0,,,,,4080.0,1.45,0.7,159.244,63.9283394,29.166542,hot-jupiter
K2-10 b,K2-10,19.30553,0.1349652282805101,3.773,25.2,Mass,transit-kepler,2015,K2,649.0,2.36,,42.1,,5533.0,0.956,0.88,272.36,172.1216476,1.6906217,neptune-like
K2-100 b,K2-100,1.6739035,0.0301,3.88,21.8,Mass,transit-kepler,2016,K2,1841.0,2.04,0.0,1915.0,G0 V,5945.0,1.24,1.15,188.959,129.6010863,20.1060074,neptune-like
K2-101 b,K2-101,14.6762429,0.1124,2.0,,,transit-kepler,2016,K2,618.0,,,,,4927.0,0.76,0.82,188.33,130.3439097,18.9338205,sub-neptune
K2-102 b,K2-102,9.915615,0.08279101287720007,1.3,,,transit-kepler,2016,K2,,,0.1,,,4695.0,0.71,0.77,188.175,130.0558953,19.7787519,super-earth
K2-104 b,K2-104,1.9741954,0.0242,1.79,,,transit-kepler,2016,K2,798.0,,,,,3712.0,0.48,0.51,189.289,129.6366594,19.7737202,super-earth
K2-105 b,K2-105,8.26726,0.07838329793122994,3.4,15.4,Mass,transit-kepler,2017,K2,805.0,2.24,,100.0,,5373.0,0.905,0.94,197.989,125.4202985,13.4975122,neptune-like
K2-107 b,K2-107,3.313959,0.0475,15.98,,,transit-kepler,2017,K2,1649.0,,,,,6061.0,1.81,1.3,685.2,284.985355,-22.2934206,hot-jupiter
K2-108 b,K2-108,4.733999,0.0581,5.33,,,transit-kepler,2017,K2,1360.0,,,,,5599.0,1.76,1.17,477.295,123.3818484,16.419516,sub-neptune
K2-11 b,K2-11,39.93767,0.2257,7.55,,,transit-kepler,2015,K2,734.0,,,,,5433.0,5.15,1.35,329.309,169.0418328,1.9866832,cold-jupiter
K2-110 b,K2-110,13.86375,0.10207,2.592,15.9,Mass,transit-kepler,2017,K2,638.0,5.02,0.13,27.7,,5010.0,0.713,0.738,116.474,207.3497402,-12.2849182,neptune-like
K2-111 b,K2-111,5.3518,0.0565,1.82,5.58,Mass,transit-kepler,2017,K2,1309.0,5.0,0.1,490.0,,5775.0,1.25,0.84,200.394,59.8903081,21.2985263,super-earth
