name,hostStar,period,separation,radius,mass,massProvenance,detectionMethod,discoveryYear,facility,temperature,density,eccentricity,insolation,starSpectralType,starTemperature,starRadius,starMass,distance,ra,dec,planetType
Kepler-1533 b,Kepler-1533,308.5471,0.9777877561655586,3.46,,,transit-kepler,2016,Kepler,,,,,,6431.0,1.51,1.31,966.801,295.9755645,44.7133739,neptune-like
Kepler-1534 b,Kepler-1534,5.71668872,0.06041114262366308,1.89,,,transit-kepler,2016,Kepler,,,,,,5442.0,0.86,0.9,,292.395373,43.8691326,super-earth
Kepler-1535 b,Kepler-1535,138.9442,0.538651719403631,2.55,,,transit-kepler,2016,Kepler,,,,,,6021.0,1.11,1.08,897.733,286.613685,38.8919507,neptune-like
Kepler-1536 b,Kepler-1536,364.758031,0.8913108808458342,3.14,,,transit-kepler,2016,Kepler,,,,,,4434.0,0.67,0.71,387.248,291.5852554,45.7158742,neptune-like
Kepler-1537 b,Kepler-1537,1.444453798,0.023311521854773438,1.18,,,transit-kepler,2016,Kepler,,,,,,5079.0,0.77,0.81,517.292,294.3853917,43.8254461,rocky
Kepler-1538 b,Kepler-1538,175.138819,0.6186911015296602,2.82,,,transit-kepler,2016,Kepler,,,,,,5837.0,1.03,1.03,1125.3,283.345611,45.2743573,neptune-like
Kepler-1539 b,Kepler-1539,133.3036741,0.48186756223296184,2.7,,,transit-kepler,2016,Kepler,,,,,,5176.0,0.8,0.84,748.326,284.2194566,44.2685146,neptune-like
Kepler-154 b,Kepler-154,33.040532,0.198,2.26,,,transit-kepler,2014,Kepler,,,,,,5690.0,1.001,,915.212,289.7805393,49.8965624,neptune-like
Kepler-154 c,Kepler-154,62.303276,0.303,2.95,,,transit-kepler,2014,Kepler,,,,,,5690.0,1.001,,915.212,289.7805393,49.8965624,neptune-like
Kepler-154 d,Kepler-154,20.54981883,0.14584354332044633,3.84,,,transit-kepler,2016,Kepler,,,,,,5769.0,0.98,0.98,915.212,289.7805393,49.8965624,neptune-like
Kepler-154 e,Kepler-154,3.93276465,0.04843364793028557,1.5,,,transit-kepler,2016,Kepler,,,,,,5769.0,0.98,0.98,915.212,289.7805393,49.8965624,super-earth
Kepler-154 f,Kepler-154,9.91935684,0.0897437510835251,1.5,,,transit-kepler,2016,Kepler,,,,,,5769.0,0.98,0.98,915.212,289.7805393,49.8965624,super-earth
Kepler-1540 b,Kepler-1540,125.4131177,0.4435191739282612,2.49,,,transit-kepler,2016,Kepler,,,,,,4540.0,0.69,0.74,244.96,283.3445555,41.2017544,neptune-like
Kepler-1541 b,Kepler-1541,8.40691199,0.07694794063979611,1.16,,,transit-kepler,2016,Kepler,,,,,,5282.0,0.81,0.86,416.692,283.7870875,48.0296019,rocky
Kepler-1542 b,Kepler-1542,3.95116882,0.047914415224291955,0.76,,,transit-kepler,2016,Kepler,,,,,,5564.0,0.99,0.94,399.114,285.7284757,42.6544651,rocky
Kepler-1542 c,Kepler-1542,2.89223021,0.03891685236814823,0.65,,,transit-kepler,2016,Kepler,,,,,,5564.0,0.99,0.94,399.114,285.7284757,42.6544651,rocky
Kepler-1542 d,Kepler-1542,5.99273738,0.06325079164039972,0.87,,,transit-kepler,2016,Kepler,,,,,,5564.0,0.99,0.94,399.114,285.7284757,42.6544651,rocky
Kepler-1542 e,Kepler-1542,5.10115756,0.05681045836972587,0.76,,,transit-kepler,2016,Kepler,,,,,,5564.0,0.99,0.94,399.114,285.7284757,42.6544651,rocky
Kepler-1543 b,Kepler-1543,6.96710269,0.07967332187010838,2.71,,,transit-kepler,2016,Kepler,,,,,,6561.0,1.65,1.39,921.784,297.1242915,47.0369876,neptune-like
Kepler-1544 b,Kepler-1544,168.811174,0.557231488625569,1.78,,,transit-kepler,2016,Kepler,,,,,,4886.0,0.74,0.81,335.09,297.2852168,49.2124526,super-earth
Kepler-1545 b,Kepler-1545,163.692349,0.552567324212378,2.7,,,transit-kepler,2016,Kepler,,,,,,5201.0,0.8,0.84,729.964,298.8988313,47.4630696,neptune-like
Kepler-1546 b,Kepler-1546,19.5974971,0.1398453803906776,3.13,,,transit-kepler,2016,Kepler,,,,,,5623.0,0.93,0.95,931.956,297.5839183,41.5411993,neptune-like
Kepler-1547 b,Kepler-1547,0.692979676,0.015915716314314467,0.9,,,transit-kepler,2016,Kepler,,,,,,6078.0,1.18,1.12,674.695,283.7640396,42.2220992,rocky
Kepler-1548 b,Kepler-1548,124.828679,0.487185661764617,2.64,,,transit-kepler,2016,Kepler,,,,,,5706.0,0.97,0.99,872.279,287.4711817,46.0805706,neptune-like
Kepler-1549 b,Kepler-1549,214.886545,0.6728323894932415,2.57,,,transit-kepler,2016,Kepler,,,,,,5324.0,0.84,0.88,803.052,286.0524399,39.0960281,neptune-like
Kepler-155 b,Kepler-155,5.931194,0.056,2.09,,,transit-kepler,2014,Kepler,,,,,,4508.0,0.62,,293.499,288.4957831,51.0819286,sub-neptune
Kepler-155 c,Kepler-155,52.661793,0.242,2.24,,,transit-kepler,2014,Kepler,,,,,,4508.0,0.62,,293.499,288.4957831,51.0819286,neptune-like
Kepler-1550 b,Kepler-1550,225.582809,0.7417742896453856,3.02,,,transit-kepler,2016,Kepler,,,,,,5991.0,1.11,1.07,1179.01,287.7646113,38.2947076,neptune-like
Kepler-1551 b,Kepler-1551,24.4973698,0.17244652190907372,2.66,,,transit-kepler,2016,Kepler,,,,,,6136.0,1.22,1.14,1463.72,295.7855238,39.9078956,neptune-like
Kepler-1552 b,Kepler-1552,184.771853,0.6014091550868423,2.47,,,transit-kepler,2016,Kepler,,,,,,5202.0,0.78,0.85,769.096,291.6768669,38.8749152,neptune-like
Kepler-1553 b,Kepler-1553,4.24261881,0.048584995582157314,1.15,,,transit-kepler,2016,Kepler,,,,,,5288.0,0.81,0.85,692.594,291.9191348,39.0221769,rocky
Kepler-1554 b,Kepler-1554,198.088774,0.6274891031432063,2.9,,,transit-kepler,2016,Kepler,,,,,,5297.0,0.81,0.84,946.847,286.576016,41.7415762,neptune-like
Kepler-1555 b,Kepler-1555,8.10501635,0.0800055705868499,1.61,,,transit-kepler,2016,Kepler,,,,,,5866.0,1.06,1.04,2013.27,287.6354587,45.7160327,super-earth
Kepler-1556 b,Kepler-1556,8.82713457,0.08274534924453142,1.96,,,transit-kepler,2016,Kepler,,,,,,5608.0,0.95,0.97,944.54,288.3969751,40.2131892,super-earth
Kepler-1557 b,Kepler-1557,3.74032496,0.04882629081051626,1.53,,,transit-kepler,2016,Kepler,,,,,,6099.0,1.17,1.11,1380.16,293.8813592,46.8388172,super-earth
Kepler-1558 b,Kepler-1558,3.50470358,0.04243589920466028,0.68,,,transit-kepler,2016,Kepler,,,,,,5101.0,0.79,0.83,325.737,286.8194349,46.9117837,rocky
Kepler-1559 b,Kepler-1559,0.971915428,0.018261018007396133,0.72,,,transit-kepler,2016,Kepler,,,,,,5316.0,0.82,0.86,614.827,292.2866565,42.0725948,rocky
Kepler-156 b,Kepler-156,4.973456,0.054,2.3,,,transit-kepler,2014,Kepler,,,,,,5094.0,0.807,,443.483,290.2964214,37.7494271,neptune-like
Kepler-156 c,Kepler-156,15.906801,0.117,2.55,,,transit-kepler,2014,Kepler,,,,,,5094.0,0.807,,443.483,290.2964214,37.7494271,neptune-like
Kepler-1560 b,Kepler-1560,3.03195744,0.04126881272281578,0.89,,,transit-kepler,2016,Kepler,,,,,,5815.0,1.02,1.02,502.497,292.7846013,43.21601,rocky
Kepler-1561 b,Kepler-1561,1.005207007,0.0200865236761323,1.09,,,transit-kepler,2016,Kepler,,,,,,5957.0,1.11,1.07,839.076,296.9235822,43.5664628,rocky
Kepler-1562 b,Kepler-1562,64.2737752,0.3161033612162525,3.55,,,transit-kepler,2016,Kepler,,,,,,5760.0,1.05,1.02,2060.72,294.4556567,46.7435353,neptune-like
Kepler-1563 b,Kepler-1563,3.43276598,0.044535122230495085,0.75,,,transit-kepler,2016,Kepler,,,,,,5765.0,0.99,1.0,616.697,288.5735936,51.4727698,rocky
Kepler-1564 b,Kepler-1564,18.0540381,0.1314670959098746,1.47,,,transit-kepler,2016,Kepler,,,,,,5528.0,0.9,0.93,908.805,290.5861316,46.6427486,super-earth
Kepler-1565 b,Kepler-1565,1.538188437,0.02379856344933509,1.19,,,transit-kepler,2016,Kepler,,,,,,4940.0,0.73,0.76,629.93,297.9529793,40.8067876,rocky
Kepler-1566 b,Kepler-1566,0.539915238,0.012243812457918828,0.79,,,transit-kepler,2016,Kepler,,,,,,5254.0,0.81,0.84,466.586,283.5875459,40.5749018,rocky
Kepler-1567 b,Kepler-1567,153.979578,0.5527004294923857,2.73,,,transit-kepler,2016,Kepler,,,,,,5655.0,0.93,0.95,1206.11,286.695153,40.2918894,neptune-like
Kepler-1568 b,Kepler-1568,20.925392,0.15294352115889873,1.3,,,transit-kepler,2016,Kepler,,,,,,5956.0,1.19,1.09,916.313,289.1826808,47.8733301,super-earth
Kepler-1569 b,Kepler-1569,5.79180156,0.06799113696723734,1.68,,,transit-kepler,2016,Kepler,,,,,,6319.0,1.4,1.25,945.454,292.2046748,37.2212065,super-earth
Kepler-157 b,Kepler-157,1.732342,0.028,1.32,,,transit-kepler,2014,Kepler,,,,,,5774.0,1.044,,773.713,291.0972257,38.8756049,super-earth
Kepler-157 c,Kepler-157,13.5405,0.11,2.24,,,transit-kepler,2014,Kepler,,,,,,5774.0,1.044,,773.713,291.0972257,38.8756049,neptune-like
Kepler-157 d,Kepler-157,7.02573474,0.07226606489110023,1.46,,,transit-kepler,2016,Kepler,,,,,,5866.0,1.03,1.02,773.713,291.0972257,38.8756049,super-earth
Kepler-1570 b,Kepler-1570,26.548955,0.16939506231725968,1.07,,,transit-kepler,2016,Kepler,,,,,,5550.0,0.89,0.92,918.995,299.8617842,45.8274232,rocky
Kepler-1571 b,Kepler-1571,3.38555488,0.047278257260071885,1.52,,,transit-kepler,2016,Kepler,,,,,,6297.0,1.39,1.23,675.303,300.9354067,45.5964836,super-earth
Kepler-1572 b,Kepler-1572,5.49548621,0.060330164565136395,0.94,,,transit-kepler,2016,Kepler,,,,,,5618.0,0.95,0.97,946.602,281.8973341,46.7227061,rocky
Kepler-1573 b,Kepler-1573,2.6157554,0.03727735262342053,1.2,,,transit-kepler,2016,Kepler,,,,,,5808.0,1.0,1.01,1455.36,292.9883129,49.4849664,rocky
Kepler-1574 b,Kepler-1574,6.9424334,0.07261889231098627,1.29,,,transit-kepler,2016,Kepler,,,,,,5892.0,1.08,1.06,1384.16,292.1586689,49.6377914,super-earth
Kepler-1575 b,Kepler-1575,2.55314213,0.035938866879594376,1.31,,,transit-kepler,2016,Kepler,,,,,,5667.0,0.92,0.95,1246.92,293.7432102,45.7615507,super-earth
Kepler-1576 b,Kepler-1576,6.98471973,0.07268346216937616,1.04,,,transit-kepler,2016,Kepler,,,,,,5876.0,1.06,1.05,460.91,289.0739641,40.3660239,rocky
Kepler-1577 b,Kepler-1577,6.30560247,0.06148782195696759,1.13,,,transit-kepler,2016,Kepler,,,,,,4862.0,0.74,0.78,510.029,292.9552704,47.5730433,rocky
Kepler-1578 b,Kepler-1578,1.450886907,0.024216408154095936,1.04,,,transit-kepler,2016,Kepler,,,,,,5545.0,0.86,0.9,1064.05,288.3021104,47.7756227,rocky
Kepler-1579 b,Kepler-1579,0.849907889,0.015954193131049916,0.84,,,transit-kepler,2016,Kepler,,,,,,4584.0,0.7,0.75,,293.288022,43.5149061,rocky
Kepler-158 b,Kepler-158,16.709184,0.111,2.12,,,transit-kepler,2014,Kepler,,,,,,4623.0,0.624,,315.177,284.0323723,39.7815365,sub-neptune
Kepler-158 c,Kepler-158,28.551383,0.158,1.9,,,transit-kepler,2014,Kepler,,,,,,4623.0,0.624,,315.177,284.0323723,39.7815365,super-earth
Kepler-158 d,Kepler-158,0.645088,0.012695615829956975,0.43,,,transit-kepler,2024,Kepler,,,,,K,4895.97,0.668,0.656,315.177,284.0323723,39.7815365,rocky
Kepler-1580 b,Kepler-1580,56.6449279,0.32821088542335536,2.11,,,transit-kepler,2016,Kepler,,,,,,6228.0,2.15,1.47,1002.02,285.9687099,41.3635264,sub-neptune
Kepler-1581 b,Kepler-1581,6.28385491,0.06920911414282119,0.8,,,transit-kepler,2016,Kepler,,,,,,6022.0,1.23,1.12,493.175,287.3713199,39.6036225,rocky
Kepler-1582 b,Kepler-1582,4.83817712,0.036625230753299265,1.49,,,transit-kepler,2016,Kepler,,,,,,3208.0,0.3,0.28,78.8906,289.3765441,41.1580845,super-earth
Kepler-1583 b,Kepler-1583,9.32807355,0.08495268492944288,0.6,,,transit-kepler,2016,Kepler,,,,,,5645.0,0.91,0.94,403.933,286.3869335,47.0165188,rocky
Kepler-1584 b,Kepler-1584,13.3997099,0.11397274529773829,1.61,,,transit-kepler,2016,Kepler,,,,,,6069.0,1.13,1.1,1416.31,287.7626791,43.2743929,super-earth
Kepler-1585 b,Kepler-1585,3.5827463,0.044887612394978516,1.79,,,transit-kepler,2016,Kepler,,,,,,5538.0,0.91,0.94,944.465,296.1589897,44.5630457,super-earth
Kepler-1586 b,Kepler-1586,15.6049212,0.13832592114878478,1.52,,,transit-kepler,2016,Kepler,,,,,,6681.0,1.75,1.45,552.55,298.2026236,44.9258585,super-earth
Kepler-1587 b,Kepler-1587,9.4060467,0.0894717343329783,1.33,,,transit-kepler,2016,Kepler,,,,,,5933.0,1.22,1.08,1026.48,292.6777294,49.6638666,super-earth
Kepler-1588 b,Kepler-1588,7.84931739,0.07625204956026485,0.76,,,transit-kepler,2016,Kepler,,,,,,5817.0,0.99,0.96,924.141,288.2327232,48.0021967,rocky
Kepler-1589 b,Kepler-1589,0.991665274,0.020565720205990044,1.09,,,transit-kepler,2016,Kepler,,,,,,6166.0,1.25,1.18,1513.14,294.4418236,40.5716114,rocky
Kepler-159 b,Kepler-159,10.139623,0.082,2.38,,,transit-kepler,2014,Kepler,,,,,,4625.0,0.663,,373.744,297.0702037,40.868734,neptune-like
Kepler-159 c,Kepler-159,43.595792,0.218,3.41,,,transit-kepler,2014,Kepler,,,,,,4625.0,0.663,,373.744,297.0702037,40.868734,neptune-like
Kepler-1590 b,Kepler-1590,7.61760804,0.07845005604700393,1.14,,,transit-kepler,2016,Kepler,,,,,,6053.0,1.16,1.11,771.152,291.4079141,48.0178915,rocky
Kepler-1591 b,Kepler-1591,8.18504949,0.0820512027891534,1.27,,,transit-kepler,2016,Kepler,,,,,,6082.0,1.16,1.1,1419.58,296.5166659,44.6086233,super-earth
Kepler-1592 b,Kepler-1592,3.05710069,0.043561920163366824,1.54,,,transit-kepler,2016,Kepler,,,,,,6213.0,1.28,1.18,1639.47,293.850623,38.3977379,super-earth
Kepler-1593 b,Kepler-1593,174.509835,0.5697025042323085,3.17,,,transit-kepler,2016,Kepler,,,,,,4995.0,0.77,0.81,638.249,300.4882018,44.4606698,neptune-like
Kepler-1594 b,Kepler-1594,2.71603809,0.03884475406529798,1.06,,,transit-kepler,2016,Kepler,,,,,,5946.0,1.08,1.06,976.868,293.6230451,47.9619127,rocky
Kepler-1595 b,Kepler-1595,4.56380468,0.050806308995973645,1.23,,,transit-kepler,2016,Kepler,,,,,,5203.0,0.8,0.84,845.022,285.7227502,43.0094855,rocky
Kepler-1596 b,Kepler-1596,66.373379,0.3153869145932329,1.9,,,transit-kepler,2016,Kepler,,,,,,5706.0,0.92,0.95,2146.23,285.5575066,49.3300866,super-earth
Kepler-1597 b,Kepler-1597,2.94654179,0.04332962441707014,1.06,,,transit-kepler,2016,Kepler,,,,,,6377.0,1.39,1.25,1221.05,288.1639687,42.4810124,rocky
Kepler-1598 b,Kepler-1598,4.34195123,0.05327511593875169,0.95,,,transit-kepler,2016,Kepler,,,,,,5940.0,1.09,1.07,619.862,288.469107,46.7836464,rocky
Kepler-1599 b,Kepler-1599,122.363553,0.48075037797878606,1.62,,,transit-kepler,2016,Kepler,,,,,,5767.0,0.99,0.99,1328.2,286.2208685,41.1511886,super-earth
Kepler-16 b,Kepler-16,228.776,0.7048,8.4493,105.833,Mass,transit-kepler,2011,Kepler,,0.964,0.0069,,,4450.0,0.6489,0.6897,75.0852,289.0758307,51.757229,cold-jupiter
Kepler-160 b,Kepler-160,4.309397,0.05511,1.715,,,transit-kepler,2014,Kepler,,,,,,5471.0,1.118,,937.013,287.773573,42.8692755,super-earth
Kepler-160 c,Kepler-160,13.699429,0.1192,3.76,,,transit-kepler,2014,Kepler,,,,,,5471.0,1.118,,937.013,287.773573,42.8692755,neptune-like
Kepler-160 d,Kepler-160,30.0,0.17,,100.0,Mass,transit-other,2020,Kepler,,,,,,5471.0,1.118,,937.013,287.773573,42.8692755,sub-neptune
Kepler-1600 b,Kepler-1600,386.370548,0.9872837978490072,3.13,,,transit-kepler,2016,Kepler,,,,,,5214.0,0.82,0.86,1030.81,291.3993802,38.7877563,neptune-like
Kepler-1600 c,Kepler-1600,7.298049927,0.06886451685766286,1.94206512,,,transit-kepler,2021,Kepler,,,,,,5119.0,0.834,0.818,1030.81,291.3993802,38.7877563,super-earth
Kepler-1601 b,Kepler-1601,2.20921951,0.033633872740961857,0.82,,,transit-kepler,2016,Kepler,,,,,,5869.0,1.07,1.04,644.456,285.5129496,38.079839,rocky
Kepler-1602 b,Kepler-1602,11.17931605,0.10455302837302147,1.34,,,transit-kepler,2016,Kepler,,,,,,6296.0,1.36,1.22,629.804,293.5808607,40.4275396,super-earth
Kepler-1603 b,Kepler-1603,2.27163926,0.036038044531798125,1.29,,,transit-kepler,2016,Kepler,,,,,,6241.0,1.31,1.21,2712.58,295.3298254,42.5349698,super-earth
Kepler-1604 b,Kepler-1604,0.683684256,0.014158108707290716,1.41,,,transit-kepler,2016,Kepler,,,,,,4976.0,0.76,0.81,541.189,285.4106549,44.4122318,super-earth
Kepler-1605 b,Kepler-1605,85.7565495,0.3619241248791989,1.08,,,transit-kepler,2016,Kepler,,,,,,5280.0,0.82,0.86,546.23,287.1349405,47.4886251,rocky
Kepler-1606 b,Kepler-1606,196.435224,0.6385088645327577,2.07,,,transit-kepler,2016,Kepler,,,,,,5422.0,0.86,0.9,831.287,286.3782987,43.0732287,sub-neptune
Kepler-1607 b,Kepler-1607,13.6473676,0.11675461618687111,0.92,,,transit-kepler,2016,Kepler,,,,,,6116.0,1.21,1.14,1286.1,296.0598685,42.6560582,rocky
Kepler-1608 b,Kepler-1608,16.4735686,0.11512034008075771,1.73,,,transit-kepler,2016,Kepler,,,,,,4992.0,0.72,0.75,,295.563555,39.41757,super-earth
Kepler-1609 b,Kepler-1609,114.34219,0.4871972819324846,2.22,,,transit-kepler,2016,Kepler,,,,,,6132.0,1.27,1.18,1826.04,290.1465356,39.6658026,neptune-like
Kepler-161 b,Kepler-161,4.921355,0.054,2.12,,,transit-kepler,2014,Kepler,,,,,,5078.0,0.806,,434.632,290.5164698,43.0838642,sub-neptune
Kepler-161 c,Kepler-161,7.06424,0.068,2.05,,,transit-kepler,2014,Kepler,,,,,,5078.0,0.806,,434.632,290.5164698,43.0838642,sub-neptune
Kepler-1610 b,Kepler-1610,8.70181574,0.08023433109757777,1.61,,,transit-kepler,2016,Kepler,,,,,,5383.0,0.87,0.91,864.331,295.9049795,45.4054296,super-earth
Kepler-1610 c,Kepler-1610,44.9851885,0.2323,2.09,,,transit-kepler,2023,Kepler,433.0,,0.0,8.34,,5295.0,0.8,0.825,864.331,295.9049795,45.4054296,sub-neptune
Kepler-1611 b,Kepler-1611,5.1762429,0.057366572141263804,0.81,,,transit-kepler,2016,Kepler,,,,,,5605.0,0.93,0.94,908.444,296.5120204,49.7277506,rocky
Kepler-1612 b,Kepler-1612,3.91795101,0.047981033183036606,1.03,,,transit-kepler,2016,Kepler,,,,,,5643.0,0.94,0.96,764.726,291.2503022,45.6550536,rocky
Kepler-1613 b,Kepler-1613,1.5184299,0.026526356383849398,2.08,,,transit-kepler,2016,Kepler,,,,,,6005.0,1.12,1.08,1508.33,289.8750066,43.4209318,sub-neptune
Kepler-1614 b,Kepler-1614,3.9466141,0.045181986637323285,1.49,,,transit-kepler,2016,Kepler,,,,,,5121.0,0.76,0.79,1191.19,284.8713893,49.7758867,super-earth
Kepler-1615 b,Kepler-1615,47.3126192,0.2593794852472222,2.06,,,transit-kepler,2016,Kepler,,,,,,5865.0,1.05,1.04,1393.83,286.3592066,42.2273971,sub-neptune
Kepler-1616 b,Kepler-1616,6.76284377,0.07457979928817407,1.02,,,transit-kepler,2016,Kepler,,,,,,6266.0,1.34,1.21,1137.81,286.5436691,45.3048716,rocky
Kepler-1617 b,Kepler-1617,27.4785572,0.18671035909357464,1.2,,,transit-kepler,2016,Kepler,,,,,,6167.0,1.22,1.15,898.31,287.9371747,46.4184781,rocky
Kepler-1618 b,Kepler-1618,6.10826019,0.07333161335400144,1.26,,,transit-kepler,2016,Kepler,,,,,,6620.0,1.65,1.41,1229.25,295.1753619,45.9308594,super-earth
Kepler-1619 b,Kepler-1619,23.6225913,0.16112324789113996,0.76,,,transit-kepler,2016,Kepler,,,,,,5852.0,1.0,1.0,734.85,285.703595,44.4221528,rocky
Kepler-162 b,Kepler-162,6.919798,0.069,1.26,,,transit-kepler,2014,Kepler,,,,,,5816.0,0.958,,855.641,297.2789115,43.7239693,super-earth
Kepler-162 c,Kepler-162,19.446355,0.137,3.03,,,transit-kepler,2014,Kepler,,,,,,5816.0,0.958,,855.641,297.2789115,43.7239693,neptune-like
Kepler-1620 b,Kepler-1620,101.951829,0.44747537907336254,1.61,,,transit-kepler,2016,Kepler,,,,,,6157.0,1.23,1.15,895.069,297.2709026,46.9284743,super-earth
Kepler-1621 b,Kepler-1621,92.263714,0.41865834494223453,2.16,,,transit-kepler,2016,Kepler,,,,,,6158.0,1.24,1.15,1631.66,297.5885341,43.8411937,neptune-like
Kepler-1622 b,Kepler-1622,10.8118737,0.104704237400501,1.47,,,transit-kepler,2016,Kepler,,,,,,6436.0,1.5,1.31,796.477,297.3288329,47.815459,super-earth
Kepler-1623 b,Kepler-1623,4.36128348,0.052241550874606676,1.31,,,transit-kepler,2016,Kepler,,,,,,5772.0,1.0,1.0,837.481,294.082697,39.5560655,super-earth
Kepler-1624 b,Kepler-1624,3.290304518,0.034362697389808385,5.7,,,transit-kepler,2016,Kepler,,,,,,3636.0,0.47,0.5,258.979,292.5798564,37.3762616,sub-neptune
Kepler-1625 b,Kepler-1625,287.378949,0.8407500388243927,6.06,,,transit-kepler,2016,Kepler,,,,,,5677.0,0.94,0.96,2310.11,295.429322,39.8865068,sub-neptune
Kepler-1626 b,Kepler-1626,4.13962966,0.057885949225267755,2.02,,,transit-kepler,2016,Kepler,,,,,,6826.0,1.85,1.51,1368.83,296.5004384,40.7212069,sub-neptune
Kepler-1627 b,Kepler-1627,7.20283653,0.06968114955753223,3.69,,,transit-kepler,2016,Kepler,,,,,,5445.0,0.84,0.87,317.437,284.0566675,41.5767277,neptune-like
Kepler-1628 b,Kepler-1628,76.378033,0.28865099562389257,6.43,,,transit-kepler,2016,Kepler,,,,,,3724.0,0.52,0.55,,281.6336936,43.4115547,sub-neptune
Kepler-1629 b,Kepler-1629,3.87595807,0.04845065898521737,0.77,,,transit-kepler,2016,Kepler,,,,,,5776.0,1.01,1.01,336.09,280.2066276,43.7743281,rocky
Kepler-163 b,Kepler-163,7.810937,0.078,1.05,,,transit-kepler,2014,Kepler,,,,,,5776.0,0.917,,689.814,295.0027458,46.9873389,rocky
Kepler-163 c,Kepler-163,21.347262,0.152,2.26,,,transit-kepler,2014,Kepler,,,,,,5776.0,0.917,,689.814,295.0027458,46.9873389,neptune-like
Kepler-1630 b,Kepler-1630,509.997402,1.0876766482740594,2.19,,,transit-kepler,2016,Kepler,,,,,,4736.0,0.63,0.66,331.213,297.5083004,43.7110543,neptune-like
Kepler-1631 b,Kepler-1631,4.09513932,0.0495879570019502,1.35,,,transit-kepler,2016,Kepler,,,,,,5679.0,0.95,0.97,1305.99,294.6325781,43.8076687,super-earth
Kepler-1632 b,Kepler-1632,448.303558,1.1904942851256008,2.47,,,transit-kepler,2016,Kepler,,,,,,6137.0,1.19,1.12,716.76,294.4948769,43.9135575,neptune-like
Kepler-1633 b,Kepler-1633,186.404271,0.6786369543018558,1.58,,,transit-kepler,2016,Kepler,,,,,,6256.0,1.32,1.2,1114.91,288.5151733,44.9232545,super-earth
Kepler-1634 b,Kepler-1634,374.876239,0.9896031495197377,3.19,,,transit-kepler,2016,Kepler,,,,,,5474.0,0.89,0.92,617.339,294.043399,45.1398201,neptune-like
Kepler-1635 b,Kepler-1635,469.63111,1.137385685225223,3.64,,,transit-kepler,2016,Kepler,,,,,,5347.0,0.85,0.89,1069.45,285.3490542,45.5561768,neptune-like
Kepler-1636 b,Kepler-1636,425.47785,1.1107891070852074,3.23,,,transit-kepler,2016,Kepler,,,,,,5797.0,1.02,1.01,1947.54,294.0575681,46.4409844,neptune-like
Kepler-1637 b,Kepler-1637,6.10960324,0.06583880092590864,0.89,,,transit-kepler,2016,Kepler,,,,,,5789.0,1.02,1.02,567.187,282.2368006,48.1542016,rocky
Kepler-1638 b,Kepler-1638,259.33683,0.7878433863935339,1.87,,,transit-kepler,2016,Kepler,,,,,,5710.0,0.95,0.97,1525.52,295.4823299,48.5244695,super-earth
Kepler-1639 b,Kepler-1639,9.878482,0.09357058249345519,2.58,,,transit-kepler,2016,Kepler,,,,,,6150.0,1.18,1.12,1031.31,283.068651,48.8021209,neptune-like
Kepler-164 b,Kepler-164,5.03503,0.058,1.41,,,transit-kepler,2014,Kepler,,,,,,5888.0,1.148,,890.758,287.7808115,47.6298453,super-earth
Kepler-164 c,Kepler-164,10.945723,0.097,2.73,,,transit-kepler,2014,Kepler,,,,,,5888.0,1.148,,890.758,287.7808115,47.6298453,neptune-like
Kepler-164 d,Kepler-164,28.986769,0.187,2.45,,,transit-kepler,2014,Kepler,,,,,,5888.0,1.148,,890.758,287.7808115,47.6298453,neptune-like
Kepler-164 e,Kepler-164,94.886902,0.4025,4.24,,,transit-kepler,2023,Kepler,429.0,,0.0,7.99,,5888.0,1.097,0.966,890.758,287.7808115,47.6298453,neptune-like
Kepler-1640 b,Kepler-1640,7.5844126,0.08181301378704676,4.82,,,transit-kepler,2016,Kepler,,,,,,6324.0,1.43,1.27,1859.78,294.5577857,40.8504949,sub-neptune
Kepler-1641 b,Kepler-1641,19.672266,0.14810922742736088,3.11,,,transit-kepler,2016,Kepler,,,,,,6152.0,1.19,1.12,860.37,296.359456,41.5745321,neptune-like
Kepler-1641 c,Kepler-1641,32.657212,0.20764999652798902,2.95,,,transit-kepler,2016,Kepler,,,,,,6152.0,1.19,1.12,860.37,296.359456,41.5745321,neptune-like
Kepler-1642 b,Kepler-1642,12.2057513,0.09942076154534225,3.2,,,transit-kepler,2016,Kepler,,,,,,5355.0,0.84,0.88,413.873,297.2121215,43.643789,neptune-like
Kepler-1642 c,Kepler-1642,6.6513802,0.06632978503746141,2.66,,,transit-kepler,2016,Kepler,,,,,,5355.0,0.84,0.88,413.873,297.2121215,43.643789,neptune-like
Kepler-1643 b,Kepler-1643,5.342657,0.05654535679311932,2.32,,,transit-kepler,2016,Kepler,,,,,,4916.0,0.855,0.845,341.774,300.4310076,44.7510129,neptune-like
Kepler-1644 b,Kepler-1644,21.0907758,0.14370268712960652,1.88,,,transit-kepler,2016,Kepler,,,,,,5499.0,0.86,0.89,629.27,285.4750512,48.0348356,super-earth
Kepler-1645 b,Kepler-1645,16.1779561,0.12601502867207512,1.78,,,transit-kepler,2016,Kepler,,,,,,5812.0,1.02,1.02,1202.47,297.4795142,48.418582,super-earth
Kepler-1646 b,Kepler-1646,4.48558383,0.03307929530958089,1.23,,,transit-kepler,2016,Kepler,,,,,,3299.0,0.26,0.24,127.591,287.5264859,42.9129356,rocky
